2014/11/08 02:08:18	Temp:14.00 	1:1022:0418:2.44397	2:0338:0303:1.11555	3:0394:0340:1.16011	4:0142:0230:0.61788
2014/11/08 02:08:24	Temp:14.00 	1:1022:0416:2.45490	2:0336:0301:1.11527	3:0393:0339:1.16014	4:0142:0229:0.61813
2014/11/08 02:08:30	Temp:14.00 	1:1022:0416:2.45460	2:0336:0301:1.11496	3:0393:0339:1.15978	4:0142:0229:0.61791
2014/11/08 02:08:36	Temp:14.00 	1:1022:0416:2.45473	2:0336:0302:1.11456	3:0393:0339:1.15971	4:0142:0230:0.61759
2014/11/08 02:08:41	Temp:14.00 	1:1022:0416:2.45407	2:0336:0302:1.11448	3:0394:0340:1.15984	4:0142:0230:0.61799
2014/11/08 02:08:47	Temp:14.00 	1:1022:0416:2.45488	2:0336:0302:1.11459	3:0393:0338:1.16031	4:0142:0229:0.61806
2014/11/08 02:08:53	Temp:14.00 	1:1022:0416:2.45526	2:0336:0301:1.11490	3:0393:0338:1.16029	4:0142:0229:0.61797
2014/11/08 02:08:59	Temp:14.00 	1:1022:0416:2.45463	2:0336:0302:1.11440	3:0393:0339:1.15954	4:0142:0229:0.61791
2014/11/08 02:09:05	Temp:14.00 	1:1022:0416:2.45462	2:0336:0302:1.11434	3:0393:0339:1.15947	4:0142:0229:0.61788
2014/11/08 02:09:10	Temp:14.00 	1:1022:0418:2.44369	2:0338:0303:1.11529	3:0394:0340:1.15989	4:0142:0230:0.61810
2014/11/08 02:09:16	Temp:14.00 	1:1022:0416:2.45476	2:0336:0302:1.11472	3:0393:0339:1.15984	4:0142:0230:0.61780
2014/11/08 02:09:22	Temp:14.00 	1:1022:0416:2.45368	2:0336:0302:1.11392	3:0393:0339:1.15994	4:0142:0230:0.61769
2014/11/08 02:09:28	Temp:14.00 	1:1022:0416:2.45362	2:0336:0302:1.11444	3:0393:0339:1.15933	4:0142:0230:0.61785
2014/11/08 02:09:33	Temp:14.00 	1:1022:0416:2.45330	2:0336:0302:1.11431	3:0393:0339:1.15978	4:0142:0230:0.61775
2014/11/08 02:09:39	Temp:14.00 	1:1022:0416:2.45421	2:0336:0301:1.11449	3:0393:0339:1.15950	4:0142:0230:0.61764
2014/11/08 02:09:45	Temp:14.00 	1:1022:0416:2.45397	2:0336:0301:1.11467	3:0393:0338:1.16022	4:0142:0229:0.61793
2014/11/08 02:09:51	Temp:14.00 	1:1022:0416:2.45407	2:0336:0301:1.11508	3:0393:0339:1.15994	4:0141:0229:0.61753
2014/11/08 02:09:57	Temp:14.00 	1:1022:0416:2.45452	2:0336:0301:1.11509	3:0393:0339:1.15973	4:0142:0230:0.61751
